+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 2 | 10 |   RUNNING |   WAITING |
|                 5 |  1 |       NEW |     READY |
|                 5 | 10 |   WAITING |     READY |
|                 5 | 10 |     READY |   RUNNING |
|                 7 | 10 |   RUNNING |   WAITING |
|                 7 |  1 |     READY |   RUNNING |
|                 9 |  1 |   RUNNING |   WAITING |
|                10 | 10 |   WAITING |     READY |
|                10 | 10 |     READY |   RUNNING |
|                11 | 10 |   RUNNING |TERMINATED |
|                12 |  1 |   WAITING |     READY |
|                12 |  1 |     READY |   RUNNING |
|                14 |  1 |   RUNNING |   WAITING |
|                17 |  1 |   WAITING |     READY |
|                17 |  1 |     READY |   RUNNING |
|                18 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
